feature,importance
midprice,0.289398804809044
spread_bps,0.22844694461680243
spread_std_50,0.0733578833915107
abs_ret_max_50,0.06747840679722249
spread_mean_50,0.05707713366862994
ret_std_50,0.03778617480500355
imbalance_mean_50,0.03111375722900985
abs_ret_max_20,0.030629882252374528
spread_std_10,0.022972651229137386
ret_mean_50,0.021649875009400837
imbalance_mean_20,0.02152177512146463
ret_std_20,0.019908038507882968
spread_mean_20,0.01964626504895057
ret_mean_20,0.017310955772150617
ret_mean_10,0.014391827663426065
ret_std_10,0.012691473568533436
spread_mean_10,0.00944175063382796
spread,0.008245948953313974
best_ask_quantity,0.005560638464764146
best_bid_quantity,0.004549622719974227
bid_ask_qty_imbalance,0.0037592052157009517
log_return,0.0016540875518894365
abs_log_return,0.001406896969985129
